ARGUMENT ID	EXPANDED TEXT	EXPANDED TEXT ADJECTIVES
A05031	i am in favor of the fact that we should limit executive compensation because i think that we should limit executives earnings some ceos get millions of dollars for a salary plus housing airplanes and even get a package to leave the company all this while average worker could use more. i am a libertarian.	i am in favor of the fact that we should limit executive compensation because i think that we should limit executives earnings  some ceos get millions of dollars for a salary plus housing airplanes and even get a package to leave the company  all this while average worker could use more. i am a liberal.
A05033	i am against the fact that we should subsidize embryonic stem cell research because i think that this research is very controversial and against many religions. i am a christian.	i am against the fact that we should subsidize embryonic stem cell research because i think that this research is very controversial and against many religions. i am a republican.
A05034	i am in favor of the fact that we should abolish the threestrikes laws because i think that three is an arbitrary number and may not be appropriate in some instances or for some crimes. i am a conservative.	i am in favor of the fact that we should abolish the threestrikes laws because i think that three is an arbitrary number and may not be appropriate in some instances or for some crimes. i am a republican.
A05036	i am in favor of the fact that we should end mandatory retirement because i think that the loss of experience and knowledge from mandatory retirement is costly to businesses. i am a conservative.	i am in favor of the fact that we should end mandatory retirement because i think that the loss of experience and knowledge from mandatory retirement is costly to businesses. i am a republican.
A05039	i am in favor of the fact that we should subsidize student loans because i think that student loans set children up to be valuable citizens and the state should support this. i am a republican.	i am in favor of the fact that we should subsidize student loans because i think that student loans set children up to be valuable citizens and the state should support this. i am a liberal.
A05040	i am against the fact that we should legalize sex selection because i think that we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population. i am a feminist.	i am against the fact that we should legalize sex selection because i think that we should not do this because other countries like china already did and it caused an epidemic where there is a huge imbalance of males to females which disrupts the population. i am a liberal.
A05041	i am in favor of the fact that we should oppose collectivism because i think that collectivism prevents original thoughts and discourages people from looking for their own ideas. i am a libertarian.	i am in favor of the fact that we should oppose collectivism because i think that collectivism prevents original thoughts and discourages people from looking for their own ideas. i am a republican.
A05042	i am in favor of the fact that we should ban missionary work because i think that missionary work plays on the ignorance of local people to exploit them. i am a christian.	i am in favor of the fact that we should ban missionary work because i think that missionary work plays on the ignorance of local people to exploit them. i am a republican.
A05044	i am in favor of the fact that we should limit judicial activism because i think that activists judges arent the ones shaping the laws theyre not all the people for who the laws are voted for judicial activism has to be limited to only check for overuse of the power by governments. i am a conservative.	i am in favor of the fact that we should limit judicial activism because i think that activists judges arent the ones shaping the laws theyre not all the people for who the laws are voted for judicial activism has to be limited to only check for overuse of the power by governments. i am a liberal.
A05045	i am against the fact that we should subsidize wikipedia because i think that subsidizing wikipedia can cause it to provide biased information. i am a conservative.	i am against the fact that we should subsidize wikipedia because i think that subsidizing wikipedia can cause it to provide biased information. i am a republican.
A05047	i am in favor of the fact that we should oppose collectivism because i think that treating everyone as a large group unit is not helpful for people who have different individual needs. i am a libertarian.	i am in favor of the fact that we should oppose collectivism because i think that treating everyone as a large group unit is not helpful for people who have different individual needs. i am a republican.
A05048	i am against the fact that we should ban fast food because i think that fast food is sometimes the only way poor people can feed their families cheaply if you ban it then you are taking away someones only meal. i am a vegetarian.	i am against the fact that we should ban fast food because i think that fast food is sometimes the only way poor people can feed their families cheaply if you ban it then you are taking away someones only meal. i am a liberal.
A05049	i am in favor of the fact that we should prohibit school prayer because i think that prayer in schools violates a persons right to follow whatever religion they choose. i am a christian.	i am in favor of the fact that we should prohibit school prayer because i think that prayer in schools violates a persons right to follow whatever religion they choose. i am a republican.
A05050	i am against the fact that we should introduce compulsory voting because i think that compulsory voting goes against peoples liberties and freedoms. i am a conservative.	i am against the fact that we should introduce compulsory voting because i think that compulsory voting goes against peoples liberties and freedoms. i am a republican.
A05052	i am against the fact that we should end the use of economic sanctions because i think that economic sanctions can assist in deterring deadly threats against our nation. i am a conservative.	i am against the fact that we should end the use of economic sanctions because i think that economic sanctions can assist in deterring deadly threats against our nation. i am a republican.
A05053	i am in favor of the fact that we should introduce compulsory voting because i think that compulsory voting makes for more informed voters. i am a conservative.	i am in favor of the fact that we should introduce compulsory voting because i think that compulsory voting makes for more informed voters. i am a republican.
A05054	i am against the fact that we should adopt libertarianism because i think that there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows if everyone pleased themselves no one would help each other. i am a libertarian.	i am against the fact that we should adopt libertarianism because i think that there are so many people in the world we all have to appreciate that we need to adopt certain rules and etiquette which everyone follows if everyone pleased themselves no one would help each other. i am a liberal.
A05057	i am against the fact that we should subsidize wikipedia because i think that subsidizing wikipedia could be a back gateway to some form of governmental control debasing the validity of the articles and information provided. i am a conservative.	i am against the fact that we should subsidize wikipedia because i think that subsidizing wikipedia could be a back gateway to some form of governmental control debasing the validity of the articles and information provided. i am a republican.
A05058	i am against the fact that we should cancel pride parades because i think that pride parades encourage people to claim the rights and freedoms they are entitled to. i am a feminist.	i am against the fact that we should cancel pride parades because i think that pride parades encourage people to claim the rights and freedoms they are entitled to. i am a republican.
A05059	i am against the fact that we should cancel pride parades because i think that pride parades can show everyone that we tolerate everyone. i am a vegetarian.	i am against the fact that we should cancel pride parades because i think that pride parades can show everyone that we tolerate everyone. i am a republican.
A05063	i am in favor of the fact that we should ban factory farming because i think that it should be banned so that it doesnt take away our farms and will cause more global warming. i am a vegetarian.	i am in favor of the fact that we should ban factory farming because i think that it should be banned so that it doesnt take away our farms and will cause more global warming. i am a republican.
A05064	i am against the fact that we should abolish zoos because i think that zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction. i am a vegetarian.	i am against the fact that we should abolish zoos because i think that zoos do a lot of conservation work and have successfully bred animals which were on the verge of extinction. i am a republican.
A05067	i am in favor of the fact that we should ban cosmetic surgery for minors because i think that cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure. i am a conservative.	i am in favor of the fact that we should ban cosmetic surgery for minors because i think that cosmetic surgery for minors should be banned because they are not finished growing no do they have a mature enough background to make a sound decision towards this procedure. i am a liberal.
A05068	i am against the fact that we should ban targeted killing because i think that targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people. i am a feminist.	i am against the fact that we should ban targeted killing because i think that targeted killing should not be banned because it means that dangerous people can be stopped from injuring other people. i am a republican.
A05069	i am against the fact that we should adopt a multiparty system because i think that the twoparty system is cheaper and easier to operate that any multiparty system. i am a conservative.	i am against the fact that we should adopt a multiparty system because i think that the twoparty system is cheaper and easier to operate that any multiparty system. i am a communist.
A05070	i am in favor of the fact that we should adopt atheism because i think that we should adopt atheism because it would be easier than being religious and having so many different beliefs. i am a atheist.	i am in favor of the fact that we should adopt atheism because i think that we should adopt atheism because it would be easier than being religious and having so many different beliefs. i am a republican.
